Inmueble,Latitud,Longitud,Estado,Superficie Util,Superficie Construida,SuperficieTerreno,Zona,Precio
Casa,19.66721110000000%2C,-101.193239,Nuevo,60,,60,- - -,650
Casa,19.67036430000000%2C,-101.2259896,Usado,199.36,,199.36,- - -,2690
Terreno,19.6599095000%2C,-101.2219193,No Aplicable,360,,360,- - -,250
Terreno,19.60531230000000%2C,-101.2881982,No Aplicable,1250,- - -,,- - -,500
Casa,19.65956219969270%2C,-101.1672592,Usado,140,,140,Altozano,1900
Terreno,19.56690721050730%2C,-101.6080856,No Aplicable,160,,- - -,- - -,370
Casa,19.73287613516480%2C,-101.119945,Nuevo,151,,151,- - -,1350
Casa,19.67198296710990%2C,-101.2265902,Nuevo,118,,118,- - -,1100
Casa,19.70408386499610%2C,-101.1893692,Usado,350,,350,Centro,4300
Casa,19.70945930000000%2C,-101.2433635,Usado,110,,110,- - -,750
Casa,19.66214865771910%2C,-101.1612511,Nuevo,226,,226,- - -,2600
Terreno,19.65990950000000%2C,-101.2219193,No Aplicable,100,- - -,,- - -,500
Casa,19.69770822314680%2C,-101.1034012,Nuevo,432,100,980,- - -,7933
Terreno,19.64905428506220%2C,-101.2518883,No Aplicable,780,,- - -,- - -,650
Casa,17.70486576576200%2C,-101.6146088,Usado,170,,170,- - -,2900
Casa,19.72187700000000%2C,-101.2162534,En construccion,110,,110,- - -,900
Casa,19.69934590000000%2C,-101.1486417,Usado,150,,142,- - -,1500
Casa,19.66918037957400%2C,-101.1994457,Usado,160,,160,- - -,1800
Casa,19.70333910000000%2C,-101.1610278,Usado,---,- - -,,- - -,1450
Terreno,19.64970094583580%2C,-101.2530899,No Aplicable,128,,- - -,- - -,85
Terreno,19.64294119174430%2C,-101.1680536,No Aplicable,319,,- - -,Altozano,1436457
Casa,19.66948541485280%2C,-101.2019697,En construccion,175,,175,- - -,2100
Edificio,19.70476202582380%2C,-101.1165872,En construccion,400,,400,Tres Marias,7725
Casa,19.73382542013150%2C,-101.2077284,Usado,95,,95,- - -,480
Terreno,19.71693942414380%2C,-101.0963631,No Aplicable,171,,- - -,- - -,450
Casa,19.67732070000000%2C,-101.3062382,Usado,53.32,,53.32,- - -,410
Casa,19.69623440000000%2C,-101.1514727,Usado,210,,210,- - -,12500
