Inmueble,Estado,Superficie Util,Oferta,SuperficieTerreno,Precio
Casa,Nuevo,60,venta,60,650
Casa,Usado,199.36,venta,199.36,2690
Terreno,No Aplicable,360,venta,360,250
Terreno,No Aplicable,1250,venta,100,500
Casa,Usado,140,venta,140,1900
Terreno,No Aplicable,160,venta,100,370
Casa,Nuevo,151,venta,151,1350
Casa,Nuevo,118,venta,118,1100
Casa,Usado,350,venta,350,4300
Casa,Usado,110,venta,110,750
Casa,Nuevo,226,venta,226,2600
Terreno,No Aplicable,100,venta,100,500
Casa,Nuevo,432,venta,980,7933
Terreno,No Aplicable,780,venta,100,650
Casa,Usado,170,venta,170,2900
Casa,En construccion,110,venta,110,900
Casa,Usado,150,venta,142,1500
Casa,Usado,160,venta,160,1800
Casa,Usado,100,venta,100,1450
Terreno,No Aplicable,128,venta,100,85
Terreno,No Aplicable,319,venta,100,1436.457
Casa,En construccion,175,venta,175,2100
Edificio,En construccion,400,venta,400,7725
Casa,Usado,95,venta,95,480
Terreno,No Aplicable,171,venta,100,450
Casa,Usado,53.32,venta,53.32,410
Casa,Usado,210,venta,210,1250
Casa,Usado,54,venta,54,410
Terreno,No Aplicable,100,venta,100,1800
Casa,Nuevo,112.37,venta,112.37,800
Departamento,Usado,70,venta,70,700
Terreno,Usado,400,venta,400,35
Terreno,No Aplicable,142.03,venta,100,2345
Casa,Usado,230,venta,230,2950
Casa,Usado,175,venta,175,1550
Casa,Usado,274,venta,274,1500
Casa,Usado,42.5,venta,42.5,350
Casa,Usado,300,venta,300,1800
Casa,Usado,464.57,venta,300.87,1400
Casa,Nuevo,118,venta,118,1544
Bodega,Usado,160,venta,160,850
Casa,Usado,150,venta,150,1480
Casa,Nuevo,100,venta,100,8909
Casa,Nuevo,100,venta,100,370
Terreno,No Aplicable,300,venta,100,1250
Casa,Nuevo,156,venta,156,1853
Terreno,No Aplicable,162.23,venta,100,930
Casa,Usado,95,venta,95,480
Departamento,Usado,70,venta,70,7500
Casa,Usado,870,venta,870,8800
Terreno,No Aplicable,100,venta,100,630
Terreno,No Aplicable,330.53,venta,100,320
Casa,En construccion,140,venta,140,950
Departamento,Usado,165,venta,165,6500
Local,Usado,70,renta,70,10
Departamento,Usado,70,venta,100,390
Departamento,Nuevo,56,venta,61,4365
Casa,Usado,444,venta,444,5500
Casa,Nuevo,44.22,venta,44.22,350
Casa,Usado,199.4,venta,199.4,1300
Local,Usado,60,venta,60,4500
Casa,Usado,216,venta,216,2100
Casa,En construccion,175,venta,175,2100
Local,Usado,7.5,venta,7.5,245
Departamento,Nuevo,380,venta,120,1706.1
Casa,Usado,215,venta,215,1680
Casa,Usado,1234.66,venta,100,4200
Casa,Usado,82.28,venta,82.28,600
Casa,Nuevo,127,renta,127,1
Casa,Usado,100,venta,100,2300
Terreno,Usado,100,renta,100,10
Departamento,Usado,60,venta,60,7500
Casa,Usado,100,venta,100,1300
Terreno,No Aplicable,128,venta,100,85
Casa,Usado,133.3,venta,133.3,3100
Terreno,No Aplicable,100,venta,100,6400
Terreno,No Aplicable,100,venta,100,990
Casa,Usado,147,venta,147,1600
Casa,Usado,240,venta,240,2500
Local,Nuevo,42,venta,42,2923.2
Terreno,No Aplicable,175,venta,100,350
Local,Nuevo,32,venta,32,5
Terreno,No Aplicable,100,venta,100,630
Terreno,No Aplicable,171,venta,100,450
Casa,Usado,100,renta,100,9
Casa,Usado,720,renta,720,8
Casa,Nuevo,225,venta,225,2600
Terreno,No Aplicable,500,venta,100,3500
Local,Usado,750,venta,620,5800
Casa,Nuevo,118,venta,118,1100
Terreno,No Aplicable,125000,venta,100,500
Terreno,No Aplicable,8669.01,renta,100,8
Terreno,Nuevo,4284,renta,100,2
Casa,Nuevo,150,venta,150,2300
Casa,Usado,220,venta,220,2800
Casa,Usado,210,venta,210,2600
Casa,Usado,250,venta,250,2700
Casa,Usado,200,venta,200,1900
Casa,Usado,100,venta,100,450
Casa,Usado,400,venta,400,2800
Casa,Usado,70,venta,70,630
Casa,Usado,249.6,venta,249.6,2700
Terreno,Nuevo,1500,renta,100,9
Casa,Nuevo,122,venta,122,1100
Casa,Usado,96,venta,96,800
Casa,En construccion,150,venta,150,1780
Terreno,No Aplicable,175,venta,100,350
Terreno,No Aplicable,1344,venta,100,13440
Casa,Usado,154,venta,154,600
Casa,Nuevo,175,venta,175,2150
Terreno,No Aplicable,1425,venta,100,2500
Casa,Nuevo,70,venta,70,450
Casa,Usado,210,venta,210,1800
Departamento,Nuevo,117.9,venta,117.9,1750
Bodega,Usado,169.21,venta,169.21,1275
Casa,Usado,95.89,venta,95.89,750
Casa,Usado,52,venta,52,310
Terreno,No Aplicable,108,venta,100,540
Terreno,No Aplicable,1290,venta,100,5160
Casa,Usado,132,venta,246,2600
Terreno,No Aplicable,160,venta,100,1120
Casa,Usado,325,venta,325,1600
Casa,Usado,175,venta,175,2400
Casa,Nuevo,432,venta,1980,7933
Casa,Remodelado,200,venta,200,3900
Casa,Usado,75,venta,75,525
Departamento,Nuevo,55,venta,55,439
Casa,Usado,165,venta,165,2410
Casa,Usado,870,venta,870,8800
Terreno,No Aplicable,100,venta,100,150
Casa,Nuevo,188.8,venta,188.8,2900
Casa,Usado,150,venta,150,2700
Departamento,Usado,60,renta,60,1
Casa,Usado,320,venta,320,5600
Departamento,Nuevo,55,venta,55,439
Bodega,Usado,621,venta,621,4950
Casa,Nuevo,620,venta,620,10
Terreno,No Aplicable,100,venta,100,145
Casa,Usado,46,venta,46,450
Casa,Nuevo,151,venta,151,1350
Casa,Usado,100,venta,100,560
Casa,Usado,179.9,venta,179.9,2590
Casa,Usado,112,venta,112,880
Bodega,Usado,160,venta,160,850
Casa,Remodelado,120,venta,120,650
Casa,Nuevo,310,venta,310,4300
Departamento,Usado,45,venta,45,6500
Local,Usado,750,venta,620,5800
Casa,Nuevo,122,venta,122,1100
Terreno,No Aplicable,200,venta,100,800
Casa,En construccion,169,venta,160,2100
Local,Usado,7.5,venta,7.5,245
Departamento,Usado,100,venta,100,4500
Casa,Usado,154,venta,154,600
Casa,Nuevo,90,venta,90,895
Terreno,No Aplicable,101.5,venta,100,100
Local,Nuevo,42,venta,42,2923.2
Casa,Nuevo,110,venta,110,1098
Casa,Usado,179.5,venta,179.5,2480
Casa,Usado,120,venta,120,1100
Casa,Nuevo,100,venta,100,670
Terreno,No Aplicable,4040,venta,100,1414
Terreno,No Aplicable,100,venta,100,150
Casa,Nuevo,150,venta,150,1600
Casa,Usado,75,venta,75,450
Terreno,Nuevo,4284,renta,100,2
Casa,Nuevo,280,venta,280,3750
Casa,Usado,400,venta,400,4500
Departamento,Usado,100,venta,100,930
Casa,Nuevo,210,venta,210,2300
Casa,Nuevo,122,venta,122,1150
Casa,Usado,117,venta,117,980
Casa,Nuevo,108,venta,126,1400
Casa,Usado,313,venta,313,3500
Casa,Usado,250,venta,250,1800
Terreno,Usado,100,venta,100,830
Casa,Nuevo,72,venta,100,520
Casa,Usado,58,venta,58,650
Casa,Usado,92.14,venta,92.14,600
Casa,Usado,297.6,venta,297.6,4900
Casa,Nuevo,93.17,venta,93.17,755
Casa,Usado,235,venta,235,3250
Casa,En construccion,200,venta,200,2200
Terreno,No Aplicable,100,venta,100,1722.6
Departamento,Usado,60,venta,60,7500
Departamento,Usado,193,venta,193,3600
Departamento,Nuevo,70,venta,70,420
Casa,Usado,252,venta,252,1580
Terreno,No Aplicable,112,venta,100,310
Casa,Usado,300,venta,300,3850
Departamento,Nuevo,70,venta,70,420
Terreno,Nuevo,1220,venta,100,183
Casa,Nuevo,88,venta,88,850
Departamento,Usado,100,venta,100,430
Casa,Usado,110,venta,110,600
Terreno,No Aplicable,100,venta,100,70
Casa,Usado,105,venta,105,870
Casa,Usado,199.4,venta,199.4,1300
Departamento,Usado,193,venta,193,3500
Terreno,Nuevo,150,renta,100,9
Casa,Usado,110,venta,110,750
Terreno,No Aplicable,160,venta,100,370
Casa,Usado,270,venta,270,2900
Casa,Usado,100,venta,100,560
Casa,Usado,144.5,renta,100,2
Casa,Nuevo,100,venta,100,1380
Departamento,Usado,204,venta,204,1500
Casa,Usado,81,venta,81,785
Departamento,Usado,45,venta,45,6500
Local,Usado,60,venta,60,4500
Casa,Usado,100,venta,100,3200
Terreno,No Aplicable,318,venta,100,1500
Casa,Nuevo,150,venta,150,1600
Terreno,Usado,100,venta,100,10
